
2025/02/19 (23:00:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/19 (23:00:54) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/19 (23:00:54) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/19 (23:00:54) | DEBUG: Shared::init() : Initialized.
2025/02/19 (23:00:54) | DEBUG: Loading theme file: /home/vishwa/.config/btop/themes/catppuccin_mocha.theme

2025/02/19 (23:01:34) | ===> btop++ v.1.4.0
2025/02/19 (23:01:34) | INFO: Logger set to DEBUG
2025/02/19 (23:01:34) | DEBUG: Using locale en_US.UTF-8
2025/02/19 (23:01:34) | INFO: Running on /dev/pts/0
2025/02/19 (23:01:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/19 (23:01:36) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/19 (23:01:36) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/19 (23:01:36) | DEBUG: Shared::init() : Initialized.
2025/02/19 (23:01:36) | DEBUG: Loading theme file: /home/vishwa/.config/btop/themes/catppuccin_mocha.theme
2025/02/19 (23:01:39) | INFO: Quitting! Runtime: 00:00:05

2025/02/19 (23:03:00) | ===> btop++ v.1.4.0
2025/02/19 (23:03:00) | INFO: Logger set to DEBUG
2025/02/19 (23:03:00) | DEBUG: Using locale en_US.UTF-8
2025/02/19 (23:03:00) | INFO: Running on /dev/pts/0
2025/02/19 (23:03:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/19 (23:03:03) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/19 (23:03:03) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/19 (23:03:03) | DEBUG: Shared::init() : Initialized.
2025/02/19 (23:03:03) | DEBUG: Loading theme file: /home/vishwa/.config/btop/themes/catppuccin_mocha.theme
2025/02/19 (23:03:08) | INFO: Quitting! Runtime: 00:00:08

2025/02/19 (23:10:25) | ===> btop++ v.1.4.0
2025/02/19 (23:10:25) | INFO: Logger set to DEBUG
2025/02/19 (23:10:25) | DEBUG: Using locale en_US.UTF-8
2025/02/19 (23:10:25) | INFO: Running on /dev/pts/0
2025/02/19 (23:10:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/19 (23:10:27) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/19 (23:10:27) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/19 (23:10:27) | DEBUG: Shared::init() : Initialized.
2025/02/19 (23:10:27) | DEBUG: Loading theme file: /home/vishwa/.config/btop/themes/catppuccin_mocha.theme
2025/02/19 (23:10:33) | INFO: Quitting! Runtime: 00:00:08

2025/02/19 (23:13:38) | ===> btop++ v.1.4.0
2025/02/19 (23:13:38) | INFO: Logger set to DEBUG
2025/02/19 (23:13:38) | DEBUG: Using locale en_US.UTF-8
2025/02/19 (23:13:38) | INFO: Running on /dev/pts/0
2025/02/19 (23:13:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/19 (23:13:38) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
